,DENV1_I,DENV1_II,DENV1_III,DENV1_IV,DENV1_V,DENV2_AMERICAN,DENV2_ASIANAMERICAN,DENV2_ASIANI,DENV2_ASIANII,DENV2_COSMOPOLITAN,DENV2_SYLVATIC,DENV3_I,DENV3_II,DENV3_III,DENV3_V,DENV4_I,DENV4_II,DENV4_SYLVATIC
1970.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.1724,0.1012,0.0434,0.0103,0.3302,0.0,0.0,0.0,0.0,0.0076,0.0186,0.0127
1970.0833,0.0,0.0,0.0,0.0,0.0,0.0006,0.1654,0.097,0.0416,0.0098,0.3465,0.0,0.0,0.0,0.0,0.0071,0.018,0.0125
1970.1667,0.0,0.0,0.0,0.0,0.0,0.0006,0.1581,0.0928,0.0398,0.0094,0.3635,0.0,0.0,0.0,0.0,0.0067,0.0174,0.0123
1970.25,0.0,0.0,0.0,0.0,0.0,0.0006,0.151,0.0886,0.038,0.009,0.3801,0.0,0.0,0.0,0.0,0.0063,0.0169,0.0121
1970.3333,0.0,0.0,0.0,0.0,0.0,0.0006,0.1442,0.0846,0.0363,0.0086,0.3962,0.0,0.0,0.0,0.0,0.0059,0.0163,0.0119
1970.4167,0.0,0.0,0.0,0.0,0.0,0.0006,0.1374,0.0806,0.0346,0.0082,0.4124,0.0,0.0,0.0,0.0,0.0055,0.0157,0.0116
1970.5,0.0,0.0,0.0,0.0,0.0,0.0006,0.1305,0.0765,0.0328,0.0078,0.429,0.0,0.0,0.0,0.0,0.0051,0.0151,0.0113
1970.5833,0.0,0.0,0.0,0.0,0.0,0.0006,0.1236,0.0725,0.0311,0.0074,0.4457,0.0,0.0,0.0,0.0,0.0047,0.0144,0.011
1970.6667,0.0,0.0,0.0,0.0,0.0,0.0006,0.1172,0.0688,0.0295,0.007,0.4616,0.0,0.0,0.0,0.0,0.0044,0.0138,0.0106
1970.75,0.0,0.0,0.0,0.0,0.0,0.0006,0.1105,0.0648,0.0278,0.0066,0.4781,0.0,0.0,0.0,0.0,0.004,0.0131,0.0102
1970.8333,0.0,0.0,0.0,0.0,0.0,0.0006,0.104,0.061,0.0262,0.0062,0.4944,0.0,0.0,0.0,0.0,0.0037,0.0124,0.0098
1970.9167,0.0,0.0,0.0,0.0,0.0,0.0006,0.0976,0.0572,0.0245,0.0058,0.5108,0.0,0.0,0.0,0.0,0.0033,0.0117,0.0093
1971.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0917,0.0538,0.0231,0.0055,0.524,0.0,0.0,0.0,0.0,0.003,0.0111,0.0089
1971.0833,0.0,0.0,0.0,0.0,0.0,0.0006,0.0945,0.0554,0.0238,0.0056,0.476,0.0,0.0,0.0,0.0,0.0032,0.012,0.0097
1971.1667,0.0,0.0,0.0,0.0,0.0,0.0006,0.0961,0.0564,0.0242,0.0057,0.4285,0.0,0.0,0.0,0.0,0.0033,0.0128,0.0105
1971.25,0.0,0.0,0.0,0.0,0.0,0.0006,0.0964,0.0566,0.0242,0.0057,0.3823,0.0,0.0,0.0,0.0,0.0033,0.0135,0.0112
1971.3333,0.0,0.0,0.0,0.0,0.0,0.0006,0.0957,0.0562,0.0241,0.0057,0.337,0.0,0.0,0.0,0.0,0.0033,0.0142,0.0118
1971.4167,0.0,0.0,0.0,0.0,0.0,0.0006,0.0938,0.055,0.0236,0.0056,0.2937,0.0,0.0,0.0,0.0,0.0033,0.0148,0.0125
1971.5,0.0,0.0,0.0,0.0,0.0,0.0006,0.0908,0.0533,0.0228,0.0054,0.2523,0.0,0.0,0.0,0.0,0.0034,0.0157,0.0134
1971.5833,0.0,0.0,0.0,0.0,0.0,0.0006,0.0864,0.0507,0.0217,0.0051,0.2138,0.0,0.0,0.0,0.0,0.0035,0.017,0.0146
1971.6667,0.0,0.0,0.0,0.0,0.0,0.0006,0.0811,0.0476,0.0204,0.0048,0.1778,0.0,0.0,0.0,0.0,0.0037,0.0185,0.0161
1971.75,0.0,0.0,0.0,0.0,0.0,0.0006,0.0745,0.0437,0.0187,0.0044,0.1454,0.0,0.0,0.0,0.0,0.0038,0.0202,0.0176
1971.8333,0.0,0.0,0.0,0.0,0.0,0.0006,0.0671,0.0394,0.0169,0.004,0.1161,0.0,0.0,0.0,0.0,0.0038,0.0213,0.0188
1971.9167,0.0,0.0,0.0,0.0,0.0,0.0006,0.0589,0.0346,0.0148,0.0035,0.0903,0.0,0.0,0.0,0.0,0.0037,0.0218,0.0194
1972.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0505,0.0296,0.0127,0.003,0.0685,0.0,0.0,0.0,0.0,0.0035,0.0218,0.0196
