,DENV1,DENV2,DENV3,DENV4
1970.166667,0.15067,0.24223,0.6071,0.0
1970.416667,0.134725,0.228547,0.636728,0.0
1970.666667,0.119003,0.214738,0.666259,0.0
1970.916667,0.103632896367,0.20076979923,0.695597304403,0.0
1971.166667,0.088742,0.186739,0.724519,0.0
1971.416667,0.0744489255511,0.172853827146,0.752697247303,0.0
1971.666667,0.060867,0.159268,0.779865,0.0
1971.916667,0.048115,0.146133,0.805752,0.0
1972.166667,0.036299,0.133589,0.830112,0.0
1972.416667,0.025533,0.12182,0.852647,0.0
1972.666667,0.016074,0.110869,0.873057,0.0
1972.916667,0.00781400781401,0.100533100533,0.891652891653,0.0
1973.166667,0.005573,0.124629,0.869798,0.0
1973.416667,0.004906995093,0.165921834078,0.829171170829,0.0
1973.666667,0.004232,0.213118,0.78265,0.0
1973.916667,0.003557,0.265462,0.730981,0.0
1974.166667,0.003529,0.406548,0.589923,0.0
1974.416667,0.003040996959,0.614474385526,0.382484617515,0.0
1974.666667,0.001877,0.815308,0.182815,0.0
1974.916667,0.000862,0.932571,0.066567,0.0
1975.166667,0.000719999280001,0.954375045625,0.044904955095,0.0
1975.416667,0.000837999162001,0.929854070146,0.043007956992,0.0262999737
1975.666667,0.000985,0.931037,0.042291,0.025687
1975.916667,0.001138,0.933221,0.041462,0.024179
1976.166667,0.0013000013,0.936344936345,0.040609040609,0.021746021746
1976.416667,0.001468001468,0.938516938517,0.039597039597,0.020418020418
1976.666667,0.00164,0.933206,0.038471,0.026683
1976.916667,0.002053,0.918687,0.04218,0.03708
1977.166667,0.003669,0.866972,0.066465,0.062894
1977.416667,0.00637900637901,0.792261792262,0.10248010248,0.0988790988791
1977.666667,0.010012,0.704343,0.143451,0.142194
1977.916667,0.014462,0.605906,0.185813,0.193819
1978.166667,0.018649,0.613972,0.186576,0.180803
1978.416667,0.021366978633,0.683411316589,0.1615998384,0.133621866378
1978.666667,0.023198,0.754614,0.135712,0.086476
1978.916667,0.024352,0.845119,0.112187,0.018342
1979.166667,0.033357,0.833068,0.122742,0.010833
1979.416667,0.049450950549,0.794943205057,0.146968853031,0.00863699136301
1979.666667,0.0804149195851,0.71797028203,0.194695805304,0.00691899308101
1979.916667,0.125555,0.621724,0.249258,0.003463
1980.166667,0.178072,0.536735,0.280535,0.004658
1980.416667,0.237713,0.46352,0.292619,0.006148
1980.666667,0.307825692174,0.39018960981,0.296034703965,0.00594999405001
1980.916667,0.416825,0.269381,0.311744,0.00205
1981.166667,0.558683,0.176219,0.262136,0.002962
1981.416667,0.571165,0.219942,0.204444,0.004449
1981.666667,0.482936,0.313288,0.198363,0.005413
1981.916667,0.39098,0.421389,0.183728,0.003903
1982.166667,0.334032,0.482443,0.17832,0.005205
1982.416667,0.296694,0.518715,0.177978,0.006613
1982.666667,0.261662,0.555951,0.176266,0.006121
1982.916667,0.237288,0.581687,0.179315,0.00171
1983.166667,0.207583,0.577887,0.211421,0.003109
1983.416667,0.154147,0.608006,0.23282,0.005027
1983.666667,0.10702,0.637564,0.248338,0.007078
1983.916667,0.0670489329511,0.664223335777,0.256085743914,0.012641987358
1984.166667,0.077232,0.584693,0.313841,0.024234
1984.416667,0.117893,0.493718,0.339487,0.048902
1984.666667,0.160939,0.434381,0.315825,0.088855
