,DENV1_I,DENV1_II,DENV1_IV,DENV1_V,DENV2_AMERICAN,DENV2_ASIANAMERICAN,DENV2_ASIANI,DENV2_ASIANII,DENV2_COSMOPOLITAN,DENV3_I,DENV3_II,DENV3_III,DENV3_V,DENV4_I,DENV4_II,DENV4_III
1977.166667/1972.166667,0.5265678169635974,,,0.5375181904176403,,,,,,0.5249975749624227,0.5249976158117933,,,,,
1977.416667/1972.416667,0.6167585624740973,,,0.6408161325659931,,,3.80364817856551,,,0.3853962491969085,0.38539627898276596,,,,,
1977.666667/1972.666667,0.7965923931233851,,,0.8503448370427003,,,2.9315653910207633,,,0.2918296529735912,0.2918296753969794,,,,,
1977.916667/1972.916667,,,,1.3494484773690942,,,2.2241548453960482,,,0.22623866249801305,0.226238679766732,,,,2.31996152795782,
1978.166667/1973.166667,,,,2.444227352447327,,,1.6832117100989894,,,0.19600586998811717,0.1960058846670513,,,,1.725212475008973,
1978.416667/1973.416667,,,,4.302778907335171,,,1.294493268013057,,,0.19530694749830224,0.19530696196614963,,,,1.25104362437147,
1978.666667/1973.666667,,,,6.220052514345234,,,0.9384750684438213,,,0.23266328048610974,0.23266329810687605,,,,0.8611292714312432,
1978.916667/1973.916667,,,,,,,0.7701034587073402,,,0.2965781023329209,0.29657812529377275,,,,0.6236199030937843,
1979.166667/1974.166667,,,,,,,0.46416863060669405,,,0.3897747869373562,0.38977481691833615,,,,0.8748616699735358,
1979.416667/1974.416667,,,,,,,0.34295124484168127,0.3429512185833505,2.4212578511065748,0.4501865255835805,0.4501865587776559,,,,1.3485100444798395,
1979.666667/1974.666667,,,,,,0.26000697213031804,0.26000700941937094,0.2600069888304678,1.6470136929657335,0.8133915298574024,0.8133915895580514,,,,1.695068862497484,
1979.916667/1974.916667,,,,,,0.22885084461596666,0.22885088305429305,0.22885086128410517,1.1522045563336063,,,,,,1.6106361111811895,
1980.166667/1975.166667,,,,,,0.22269465956987652,0.22269470805069874,0.22269468169877582,0.6837170139824694,,,,,,1.5094786445460728,
1980.416667/1975.416667,,,,,,,0.2535222463117269,0.25352221007808784,0.4364563005030363,,,,,,1.4459550618911412,
1980.666667/1975.666667,,,,,,,0.3149693191693294,,0.3569992972773163,,,,,,1.195483226271623,
1980.916667/1975.916667,,,,,,,0.45185189138415266,,0.3202052960642893,,,,,,1.050904589223275,
1981.166667/1976.166667,,,,,,,0.4754122403772556,,0.32737652705045217,,,,,,1.0088110205215657,
1981.416667/1976.416667,,,,,,,0.442673629442731,,0.3472658122296206,,,,,,1.0367368476463634,
1981.666667/1976.666667,,,,,0.18706768813497093,,0.39977114729407526,,0.3829438417181558,,,,,0.8456904497114183,1.1049970646481202,
1981.916667/1976.916667,,,,,0.15199660649919552,,0.35684486600640697,,0.46197406029665145,,,,,0.8310155814333007,1.112975698566677,
1982.166667/1977.166667,,,,,0.12830635209363345,,0.3237609967477134,,0.5930558586182554,,,,,0.6968182532470175,0.9488354222745261,
1982.416667/1977.416667,,,,,0.12017296616544683,,0.3083952503151048,,0.7485626785803282,1.1204648690105923,,,,0.6007648625380488,0.8249396236289754,
1982.666667/1977.666667,,,,,,,0.3162572737243602,,1.0774078474192184,0.8352852523177129,0.8352853084653463,,,0.5130335723935768,0.711448877930922,
1982.916667/1977.916667,,,,,,,0.35379226915344564,,1.7709800597575895,0.6480512850900718,0.6480513300626928,,,0.4520955608497473,0.6343374815350142,
